Start Game with: ({'size': array([8, 3]), 'quantity': 12}, {'size': array([6, 4]), 'quantity': 8}, {'size': array([6, 5]), 'quantity': 16}, {'size': array([22,  6]), 'quantity': 15}, {'size': array([29,  1]), 'quantity': 2})
{'stock_idx': 0, 'size': [28, 17], 'position': (0, 0)}
{'stock_idx': 1, 'size': [24, 19], 'position': (0, 0)}
{'stock_idx': 2, 'size': [24, 19], 'position': (0, 0)}
{'stock_idx': 3, 'size': [26, 12], 'position': (0, 0)}
{'stock_idx': 3, 'size': [26, 12], 'position': (0, 12)}
{'stock_idx': 4, 'size': [26, 12], 'position': (0, 0)}
{'stock_idx': 4, 'size': [26, 12], 'position': (0, 12)}
{'stock_idx': 5, 'size': [26, 12], 'position': (0, 0)}
{'stock_idx': 5, 'size': [26, 12], 'position': (0, 12)}
{'stock_idx': 6, 'size': [26, 12], 'position': (0, 0)}
{'stock_idx': 6, 'size': [26, 12], 'position': (0, 12)}
{'stock_idx': 7, 'size': [26, 12], 'position': (0, 0)}
{'stock_idx': 7, 'size': [26, 12], 'position': (0, 12)}
{'stock_idx': 7, 'size': [26, 11], 'position': (0, 24)}
{'stock_idx': 8, 'size': [26, 11], 'position': (0, 0)}
{'stock_idx': 9, 'size': [26, 11], 'position': (0, 0)}
{'stock_idx': 9, 'size': [26, 11], 'position': (0, 11)}
{'stock_idx': 10, 'size': [26, 11], 'position': (0, 0)}
{'stock_idx': 10, 'size': [26, 11], 'position': (0, 11)}
